"","symbol","company","identifier","sedol","weight","sector","shares_held","local_currency","date","open","high","low","close","volume","adjusted"
"85","PFE","Pfizer Inc.","71708110","2684703",0.00597314817316662,"Health Care",56400150,"USD",2021-02-22,34.330002,34.369999,34.040001,34.259998,34322500,34.259998
"86","PFE","Pfizer Inc.","71708110","2684703",0.00597314817316662,"Health Care",56400150,"USD",2021-02-23,34,34.189999,33.68,33.91,37624200,33.91
"87","PFE","Pfizer Inc.","71708110","2684703",0.00597314817316662,"Health Care",56400150,"USD",2021-02-24,33.869999,34.049999,33.669998,33.75,30686100,33.75
"88","CSCO","Cisco Systems Inc.","17275R10","2198163",0.00591536828757079,"Information Technology",42868644,"USD",2021-02-22,45.290001,45.68,44.82,45.43,21435800,45.43
"89","CSCO","Cisco Systems Inc.","17275R10","2198163",0.00591536828757079,"Information Technology",42868644,"USD",2021-02-23,45.259998,45.779999,45.099998,45.509998,19714900,45.509998
"90","CSCO","Cisco Systems Inc.","17275R10","2198163",0.00591536828757079,"Information Technology",42868644,"USD",2021-02-24,45.240002,45.799999,45.040001,45.740002,17823600,45.740002
"91","CRM","salesforce.com inc.","79466L30","2310525",0.00590331831142974,"Information Technology",9284241,"USD",2021-02-22,244.259995,244.520004,240.380005,240.949997,5055000,240.949997
"92","CRM","salesforce.com inc.","79466L30","2310525",0.00590331831142974,"Information Technology",9284241,"USD",2021-02-23,235.259995,238.960007,229.009995,235.639999,8641600,235.639999
"93","CRM","salesforce.com inc.","79466L30","2310525",0.00590331831142974,"Information Technology",9284241,"USD",2021-02-24,235.529999,241.5,231.509995,240.470001,6128300,240.470001
"94","ABBV","AbbVie Inc.","00287Y10","B92SR70",0.00585987839744077,"Health Care",17911100,"USD",2021-02-22,104.660004,107.68,104.230003,107.059998,10272500,107.059998
"95","ABBV","AbbVie Inc.","00287Y10","B92SR70",0.00585987839744077,"Health Care",17911100,"USD",2021-02-23,106.970001,107.599998,105.959999,106.269997,7058600,106.269997
"96","ABBV","AbbVie Inc.","00287Y10","B92SR70",0.00585987839744077,"Health Care",17911100,"USD",2021-02-24,106,109.440002,105.599998,108.690002,7626200,108.690002
"97","MRK","Merck & Co. Inc.","58933Y10","2778844",0.00573734864004969,"Health Care",25671876,"USD",2021-02-22,74.5,75.059998,73.730003,74.93,8218000,74.93
"98","MRK","Merck & Co. Inc.","58933Y10","2778844",0.00573734864004969,"Health Care",25671876,"USD",2021-02-23,75.290001,75.959999,74.459999,74.540001,10401200,74.540001
"99","MRK","Merck & Co. Inc.","58933Y10","2778844",0.00573734864004969,"Health Care",25671876,"USD",2021-02-24,74.800003,75.269997,74.389999,74.57,9388200,74.57
"100","AVGO","Broadcom Inc.","11135F10","BDZ78H9",0.0056379088369405,"Information Technology",4104297,"USD",2021-02-22,484,486.609985,475.320007,476.359985,1696700,476.359985
"101","AVGO","Broadcom Inc.","11135F10","BDZ78H9",0.0056379088369405,"Information Technology",4104297,"USD",2021-02-23,471.140015,474.619995,456.059998,471.899994,2130300,471.899994
"102","AVGO","Broadcom Inc.","11135F10","BDZ78H9",0.0056379088369405,"Information Technology",4104297,"USD",2021-02-24,467.679993,481.410004,462.660004,480.880005,1512500,480.880005
"103","PEP","PepsiCo Inc.","71344810","2681511",0.00559423892340693,"Consumer Staples",14022548,"USD",2021-02-22,132.039993,132.600006,130.759995,131.990005,5792900,130.944427
"104","PEP","PepsiCo Inc.","71344810","2681511",0.00559423892340693,"Consumer Staples",14022548,"USD",2021-02-23,132.649994,134.339996,131.300003,132.779999,6264300,131.728165
"105","PEP","PepsiCo Inc.","71344810","2681511",0.00559423892340693,"Consumer Staples",14022548,"USD",2021-02-24,131.850006,132.289993,131.199997,132.089996,4944000,131.043625
"106","WMT","Walmart Inc.","93114210","2936921",0.00555533900042878,"Consumer Staples",14066988,"USD",2021-02-22,137.740005,138.339996,136.25,137.690002,10702200,137.690002
"107","WMT","Walmart Inc.","93114210","2936921",0.00555533900042878,"Consumer Staples",14066988,"USD",2021-02-23,137.110001,137.389999,135.059998,135.470001,10433400,135.470001
"108","WMT","Walmart Inc.","93114210","2936921",0.00555533900042878,"Consumer Staples",14066988,"USD",2021-02-24,135.869995,136.160004,133.050003,133.210007,15521900,133.210007
"109","TMO","Thermo Fisher Scientific Inc.","88355610","2886907",0.00549756911481315,"Health Care",4021449,"USD",2021-02-22,474.769989,476.25,461.76001,463.279999,2127200,463.279999
